Date,Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday,RainTomorrow,ColourOfBoats,AverageTemp
5/7/2008,Sentosa,0,0.8,8.4,NS,52,N,NNE,24,30,81,52,HIGH,hIgh,2,5,,No,white,25.7
5/7/2008,Woodlands,0,7,10.8,ESE,46,E,E,20,19,37,16,MeD,MED,1,1,No,No,red,32.3
5/7/2008,Woodlands,0,7,10.8,ESE,46,E,E,20,19,37,16,MeD,MED,1,1,No,No,red,32.3
6/7/2008,Tuas,6.8,2.4,9.3,NNE,24,ENE,NE,4,7,86,41,HIgh,HIgh,0,1,,No,blue,24.9
6/7/2008,Tuas,6.8,2.4,9.3,NNE,24,ENE,NE,4,7,86,41,HIgh,HIgh,0,1,,No,blue,24.9
6/7/2008,Sentosa,0,2.8,3,N,74,N,NNW,31,44,68,48,HiGH,hIgH,6,6,No,No,grey,26
6/7/2008,Changi,16.2,5.2,6.4,ENE,31,SSW,E,7,17,78,52,hIgH,HIGh,5,2,,No,grey,29.3
6/7/2008,Woodlands,0,7.2,10.7,E,41,ESE,SE,11,13,62,18,mEd,med,0,0,,No,grey,32.8
7/7/2008,Sentosa,0,3,1,NNE,57,N,N,28,22,73,63,MeD,mEd,8,7,No,Yes,red,27.2
7/7/2008,Woodlands,0,5.2,7.8,E,48,SE,ESE,11,22,54,18,meD,MeD,5,2,,No,blue,33.2
7/7/2008,Tuas,0,0.8,9.3,N,37,NE,NNE,15,13,72,36,hIgh,hIGH,1,5,,No,grey,25.5
7/7/2008,Changi,0,2.4,1.6,NE,17,SW,NE,9,9,83,63,hiGH,HIGH,7,7,No,Yes,grey,29.5
8/7/2008,Woodlands,0,9.2,10.6,ESE,54,SE,ESE,20,33,36,12,MEd,MEd,1,0,No,No,white,33.4
8/7/2008,Changi,24.2,2,0.6,WSW,31,SW,NW,7,2,94,73,higH,High,8,6,Yes,Yes,red,28.7
8/7/2008,Tuas,0,1.4,6.9,NNW,24,NE,N,9,13,58,42,hIGh,high,6,5,,Yes,grey,26.7
8/7/2008,Sentosa,5,1.2,0.3,N,37,N,N,13,11,80,71,med,MeD,8,7,Yes,Yes,blue,25.1
9/7/2008,Tuas,8,1.2,2.5,ESE,31,,ESE,0,9,97,64,hIGh,higH,7,6,,Yes,grey,28.1
9/7/2008,Changi,3.8,1,,W,43,WSW,W,13,19,48,34,hIGh,HIgH,1,1,,No,white,26.4
9/7/2008,Woodlands,0,9.6,10.6,ESE,50,SE,ESE,31,24,26,15,mEd,mED,1,0,No,No,red,32.4
9/7/2008,Sentosa,1.2,0.4,6.5,N,35,N,WSW,11,17,95,61,hiGh,high,1,7,,Yes,blue,25.4
10/7/2008,Tuas,4.6,2.8,1.7,NNW,46,NE,NNE,19,11,79,50,MeD,med,7,7,Yes,Yes,white,28.7
10/7/2008,Woodlands,0,9.2,11.1,ESE,48,SE,ESE,17,13,33,14,mEd,MeD,1,1,No,No,grey,32.6
10/7/2008,Changi,0.2,4,10,W,39,WSW,WSW,17,17,47,34,hIgh,meD,0,1,No,No,red,28.3
10/7/2008,Sentosa,3,2.2,7,WNW,69,N,WNW,15,46,87,33,loW,lOW,6,3,Yes,No,white,25.2
11/7/2008,Tuas,2.6,2.6,4.2,SW,54,SW,SW,26,13,63,77,mEd,Med,4,7,Yes,Yes,grey,28.4
11/7/2008,Woodlands,0,8,-10.9,E,41,ESE,NE,20,11,21,11,MeD,mEd,1,0,No,No,blue,32.8
11/7/2008,Changi,0,4,7.9,W,28,WSW,WSW,11,9,48,38,mEd,higH,7,7,,No,white,27.3
11/7/2008,Tuas,2.6,2.6,4.2,SW,54,SW,SW,26,13,63,77,mEd,Med,4,7,Yes,Yes,grey,28.4
11/7/2008,Sentosa,0.2,1.8,5.6,WSW,52,W,WSW,26,26,71,56,mED,MED,3,6,No,No,white,26
12/7/2008,Sentosa,0,2,0,N,91,N,N,22,46,68,53,HiGH,Med,7,8,,No,blue,25.2
12/7/2008,Sentosa,0,2,0,N,91,N,N,22,46,68,53,HiGH,Med,7,8,,No,blue,25.2
12/7/2008,Woodlands,0,7,11,NE,35,E,WSW,13,15,43,40,mED,meD,0,1,No,No,white,32.2
12/7/2008,Tuas,4.4,2.2,5.4,SSW,19,N,SSW,7,9,99,59,MED,MEd,6,7,,No,white,27.1
12/7/2008,Changi,0,2.2,-8.1,ENE,30,SW,E,7,15,60,48,HIGh,higH,1,6,No,No,blue,28
13/7/2008,Tuas,0.2,1,2.3,N,17,NE,W,7,7,96,63,high,higH,7,6,No,No,grey,26.8
13/7/2008,Tuas,0.2,1,2.3,N,17,NE,W,7,7,96,63,high,higH,7,6,No,No,grey,26.8
13/7/2008,Woodlands,0,4.8,10.4,WNW,28,SSE,NW,13,22,75,42,mED,Med,0,1,No,No,grey,33.3
13/7/2008,Sentosa,0,3.8,-4.2,N,87,N,N,33,44,49,55,mEd,MED,7,4,,No,blue,26.4
13/7/2008,Changi,0,3,2.2,ENE,20,SSW,ENE,6,9,72,69,HIGH,higH,7,7,No,No,grey,29.5
14/7/2008,Sentosa,0,2.6,9.4,N,54,SSW,N,7,26,78,24,MeD,MeD,1,5,No,No,white,27.3
14/7/2008,Woodlands,0,4.8,8.9,ENE,33,ESE,NNW,7,20,69,56,med,MED,5,6,No,No,blue,33.2
14/7/2008,Changi,0,1,4.5,N,19,SSW,NE,4,9,86,65,higH,HIgH,7,1,No,No,blue,30.6
14/7/2008,Tuas,0,0.2,6.5,NE,31,NE,N,11,15,86,41,HIGH,hIGh,6,5,No,No,white,27.7
15/7/2008,Tuas,0,2.2,0.8,NNE,43,N,W,22,15,62,90,Low,med,5,8,No,Yes,white,27.3
15/7/2008,Sentosa,0,2.8,3.4,NNE,39,N,N,17,24,70,51,mED,MED,7,6,No,No,grey,27.3
15/7/2008,Woodlands,0,4,11,ESE,41,SE,NNW,9,20,64,45,mEd,MeD,1,1,No,No,grey,34.4
15/7/2008,Tuas,0,2.2,0.8,NNE,43,N,W,22,15,62,90,Low,med,5,8,No,Yes,white,27.3
15/7/2008,Changi,0,1.2,5.9,W,31,SSW,NNE,9,9,80,65,HigH,MEd,5,6,No,Yes,white,31.1
16/7/2008,Changi,5.4,2.6,0,SW,19,WSW,WSW,2,4,93,71,MEd,mEd,8,8,Yes,Yes,blue,29.6
16/7/2008,Tuas,24,1.8,6.7,SW,44,SW,WSW,19,13,76,54,meD,mED,6,3,Yes,Yes,grey,27.6
16/7/2008,Woodlands,0,7.4,11,ESE,41,SSE,ESE,15,22,71,32,mEd,mED,0,0,No,No,white,33.8
16/7/2008,Sentosa,0,2.6,8.3,N,43,N,N,19,30,86,55,higH,MeD,1,6,,No,blue,26.4
17/7/2008,Woodlands,0,6.6,11.3,E,43,SE,ENE,15,20,41,15,med,med,0,0,No,No,blue,33.4
17/7/2008,Sentosa,0,1.8,1,N,59,N,N,35,30,70,47,Med,meD,7,7,,No,grey,26
17/7/2008,Tuas,2.6,1.2,3.9,WSW,46,NE,NNW,9,9,87,75,med,MED,2,7,Yes,Yes,red,26.7
17/7/2008,Changi,2.8,0.8,8.7,WSW,17,SW,NE,7,9,80,57,med,MeD,3,3,,No,grey,29.2
18/7/2008,Sentosa,0.8,1.8,2.1,SW,56,WNW,WSW,20,19,87,70,LoW,MeD,8,7,No,Yes,white,26.1
18/7/2008,Woodlands,0,7.6,11,N,41,ESE,NNE,13,24,44,41,mED,MeD,0,3,No,No,red,33.2
18/7/2008,Tuas,20.6,2,3.2,NW,76,NW,W,22,30,57,50,LOW,loW,5,6,Yes,Yes,grey,27.8
18/7/2008,Changi,0,1.2,9.6,WNW,37,SW,WNW,6,15,72,34,MeD,mED,2,2,No,No,blue,29.5
18/7/2008,Sentosa,0.8,1.8,2.1,SW,56,WNW,WSW,20,19,87,70,LoW,MeD,8,7,No,Yes,white,26.1
19/7/2008,Changi,0,3.2,9.8,W,33,SW,WNW,2,15,55,25,Med,mEd,0,0,No,No,red,28.2
19/7/2008,Tuas,15.2,1.8,9.4,SSE,37,,S,0,17,95,49,HiGh,HIgH,1,1,Yes,No,red,25.2
19/7/2008,Sentosa,1.6,1.4,1.4,N,72,N,N,33,43,74,55,Med,med,7,7,Yes,No,blue,25.9
19/7/2008,Tuas,15.2,1.8,9.4,SSE,37,,S,0,17,95,49,HiGh,HIgH,1,1,Yes,No,red,25.2
19/7/2008,Woodlands,0,5.4,8.1,WNW,26,E,NW,9,15,61,57,mEd,MeD,2,2,No,No,grey,33.6
20/7/2008,Changi,0,3.4,9,NNE,30,SW,NNE,6,15,60,45,med,mED,1,1,No,No,white,28.4
20/7/2008,Tuas,0,1.8,7.8,NE,20,NE,SSE,7,6,97,52,HiGH,hIgH,1,6,No,No,blue,25.3
20/7/2008,Sentosa,0.8,4.6,0.1,NNE,63,NNE,N,43,39,63,60,LoW,LOW,8,7,No,Yes,grey,26.3
20/7/2008,Woodlands,0,4.8,8.4,NW,35,S,NW,7,22,83,72,med,meD,5,3,No,No,grey,34.1
21/7/2008,Changi,0,2.2,3.3,W,35,N,W,6,15,83,54,MEd,mEd,8,7,,No,red,29.6
21/7/2008,Woodlands,0,5.4,10.9,SE,41,SE,NW,22,22,70,36,mEd,MeD,0,1,,No,red,34.3
21/7/2008,Sentosa,13.8,2.4,4.9,SW,70,SSW,SSW,31,35,78,44,meD,meD,7,6,Yes,Yes,grey,26.2
21/7/2008,Tuas,0,1.2,4.7,NNE,28,NE,E,2,6,94,49,HigH,hiGH,6,5,No,No,white,25.8
22/7/2008,Woodlands,0,7.2,10,ESE,52,SE,SSE,26,19,30,28,MeD,meD,1,1,,No,white,34.5
22/7/2008,Sentosa,2.4,1.6,-4.4,SSW,41,WSW,SSW,15,13,78,62,hIGh,hIgH,6,6,Yes,No,blue,25.5
22/7/2008,Tuas,0,1.2,7.5,NE,37,NE,N,11,15,80,40,high,hIGh,7,7,No,No,white,26.3
22/7/2008,Changi,0,3.6,7.5,W,33,SW,E,7,15,48,52,hIgH,hIGh,1,8,No,No,white,28.9
23/7/2008,Tuas,0,2.8,0,N,43,N,NNW,15,7,68,97,mED,mED,7,8,No,Yes,white,27.3
23/7/2008,Woodlands,0,7.6,11,SE,52,SE,SE,31,26,30,20,MeD,med,0,0,No,No,red,33.8
23/7/2008,Changi,0.2,4.4,0,SSE,26,SW,S,6,7,73,77,HIGH,hIgh,8,8,,Yes,blue,27.8
23/7/2008,Woodlands,0,7.6,11,SE,52,SE,SE,31,26,30,20,MeD,med,0,0,No,No,red,33.8
23/7/2008,Sentosa,0.8,1.2,1.4,SSE,24,,SSE,0,17,85,77,High,HIgH,7,7,No,No,red,25.4
24/7/2008,Woodlands,0,10.8,10.5,SE,44,SE,S,28,15,27,19,MeD,MeD,0,0,No,No,grey,32.4
24/7/2008,Sentosa,0,1,9.7,NNE,33,NNE,N,11,17,95,39,HigH,hIGh,7,2,No,No,grey,25.8
24/7/2008,Changi,12.6,0.6,0,S,28,SSW,,9,,92,,meD,,8,8,Yes,Yes,red,27.4
24/7/2008,Tuas,19.2,3.8,8.3,W,33,WNW,WSW,7,15,65,57,Med,MeD,3,4,,No,grey,27.7
24/7/2008,Changi,12.6,0.6,0,S,28,SSW,,9,,92,,meD,,8,8,Yes,Yes,red,27.4
25/7/2008,Tuas,0,2.6,1.9,NE,28,E,SW,7,19,84,88,MEd,MEd,7,8,No,Yes,red,26.9
25/7/2008,Sentosa,0,2,9.5,NNE,37,N,NNE,20,24,78,46,HIGh,hIgH,6,5,No,No,red,25.7
25/7/2008,Changi,22.4,0.6,1.9,SW,28,WSW,SW,9,11,86,67,meD,MED,8,6,Yes,No,red,28.6
25/7/2008,Woodlands,0,6.6,11,ESE,43,SE,SSE,24,17,24,13,med,MEd,0,0,No,No,white,32.1
26/7/2008,Tuas,12.6,1.8,9.4,SE,52,E,N,4,2,99,50,MED,MEd,1,2,Yes,Yes,white,27.5
26/7/2008,Sentosa,0,2,-4,N,41,N,NNE,24,20,79,54,med,mEd,4,7,No,Yes,red,25.3
26/7/2008,Changi,0.4,1.4,9.5,WSW,24,SW,WNW,9,11,62,42,meD,mED,0,1,,No,blue,27.8
26/7/2008,Woodlands,0,6.8,11.1,E,41,ESE,SE,17,15,32,8,MEd,mED,0,0,,No,grey,32
27/7/2008,Sentosa,8.2,2,0,S,31,WSW,SSW,11,13,91,80,meD,mEd,7,7,Yes,Yes,blue,25
27/7/2008,Woodlands,0,5.6,10.9,NNW,28,S,NNW,4,19,60,37,Med,med,1,0,No,No,blue,31.7
27/7/2008,Changi,0,2.8,2.3,SSW,30,SW,W,6,4,64,41,MEd,meD,7,7,,Yes,red,27.3
27/7/2008,Tuas,4,2,-1.3,NNE,39,NE,W,11,11,94,87,loW,LOW,8,7,Yes,Yes,grey,28.2
27/7/2008,Sentosa,8.2,2,0,S,31,WSW,SSW,11,13,91,80,meD,mEd,7,7,Yes,Yes,blue,25
28/7/2008,Sentosa,1.6,1,8.1,SSE,41,WSW,S,9,24,71,61,MeD,hIGh,2,4,Yes,No,grey,25.7
28/7/2008,Changi,2.4,2,-5.2,WSW,39,WSW,WSW,11,15,75,49,lOW,lOw,7,6,Yes,No,blue,26.7
28/7/2008,Woodlands,0,5,10.8,N,33,E,NW,2,20,70,56,MeD,Med,0,1,,No,red,32.1
28/7/2008,Tuas,5.4,1.6,2.2,WSW,44,N,W,11,15,97,81,loW,LOW,7,7,Yes,Yes,grey,27.7
29/7/2008,Woodlands,0,5.6,10.7,E,33,SSE,NNW,11,19,68,33,Med,meD,0,0,No,No,grey,33
29/7/2008,Changi,0,3.2,9.8,WSW,33,WSW,SW,11,9,53,36,MEd,MED,1,3,No,No,blue,28
29/7/2008,Tuas,11.6,2,3.7,WNW,39,NNE,WNW,7,11,93,86,mED,mEd,5,7,Yes,Yes,red,27.7
29/7/2008,Sentosa,0,1.2,7.6,N,33,N,ESE,11,6,84,45,hiGH,mED,1,7,No,No,red,25.2
29/7/2008,Sentosa,0,1.2,7.6,N,33,N,ESE,11,6,84,45,hiGH,mED,1,7,No,No,red,25.2
30/7/2008,Sentosa,0,1.4,7.5,N,56,N,NNE,28,31,76,41,MeD,MeD,1,3,,No,red,25.7
30/7/2008,Tuas,30.6,3.2,5.7,WSW,54,W,W,19,24,61,45,loW,LOw,4,6,Yes,Yes,white,27.9
30/7/2008,Woodlands,0,7.6,9.4,NW,35,S,NW,7,22,95,54,Med,mEd,6,1,,No,grey,32.7
30/7/2008,Changi,0,3.8,9.5,WNW,22,WSW,WSW,11,6,55,25,MED,mED,0,0,No,No,red,27.5
30/7/2008,Sentosa,0,1.4,7.5,N,56,N,NNE,28,31,76,41,MeD,MeD,1,3,,No,red,25.7
31/7/2008,Sentosa,0.4,3.2,4.7,N,69,N,N,41,41,64,46,med,LoW,6,6,No,No,red,26.2
31/7/2008,Tuas,3,4.2,0,SW,37,NNE,SSW,4,9,97,76,mEd,med,2,6,,Yes,blue,26
31/7/2008,Woodlands,0,5.4,8.7,E,33,ENE,NNW,17,22,66,54,med,MeD,2,6,,No,red,32.7
31/7/2008,Sentosa,0.4,3.2,4.7,N,69,N,N,41,41,64,46,med,LoW,6,6,No,No,red,26.2
31/7/2008,Changi,0,2.6,-9.9,WSW,26,SSE,W,6,11,47,29,MEd,Med,0,0,No,No,white,27
1/8/2008,Sentosa,0.4,3.8,5.2,WSW,80,NW,WSW,28,43,70,67,lOW,lOW,3,7,No,No,red,26.9
1/8/2008,Woodlands,0,5,10.1,SSE,33,SE,N,13,28,67,50,mEd,Med,7,3,,No,white,33.1
1/8/2008,Changi,0,3.6,9.8,W,35,SW,N,2,7,54,28,MEd,MEd,1,1,No,No,grey,29.7
1/8/2008,Tuas,7.8,1,2,N,30,NNE,N,11,11,82,86,Med,MEd,7,7,Yes,Yes,white,27.2
2/8/2008,Sentosa,0.6,3,6,WSW,46,W,WSW,19,26,78,55,mED,med,5,6,,No,blue,26.7
2/8/2008,Woodlands,0,5.6,9.4,E,44,E,ESE,15,24,78,23,MEd,MeD,5,5,No,No,red,33.3
2/8/2008,Changi,0,6,10.3,W,46,W,W,19,17,48,26,MED,MEd,1,0,,No,blue,29.3
2/8/2008,Tuas,18.2,0.6,8.2,SW,46,SW,SSW,22,20,57,51,Med,Med,1,3,Yes,No,blue,27.9
3/8/2008,Woodlands,0,6.2,11.4,ESE,54,ESE,E,17,33,64,11,Med,Med,1,3,,No,blue,34
3/8/2008,Tuas,0.2,2.6,9.7,S,24,NNE,S,6,15,70,50,HIGH,hIgH,3,3,,No,red,26.2
3/8/2008,Woodlands,0,6.2,11.4,ESE,54,ESE,E,17,33,64,11,Med,Med,1,3,,No,blue,34
3/8/2008,Changi,0,5.6,10.1,WSW,22,SSW,NE,11,11,47,45,med,MEd,0,1,,No,grey,28.2
3/8/2008,Tuas,0.2,2.6,9.7,S,24,NNE,S,6,15,70,50,HIGH,hIgH,3,3,,No,red,26.2
3/8/2008,Sentosa,0,1.4,5,N,52,N,N,22,30,69,54,MED,MeD,2,4,,No,grey,26.5
4/8/2008,Woodlands,0,8.6,10.3,ESE,52,S,WNW,11,28,77,45,mEd,MED,6,5,No,No,grey,33.8
4/8/2008,Sentosa,0.2,2.8,1,NNE,54,N,NNE,17,26,61,52,meD,med,7,7,No,No,white,26.6
4/8/2008,Changi,0,3.2,9.8,NE,26,SW,NE,7,11,75,53,Med,meD,1,1,No,No,white,28.4
4/8/2008,Tuas,0,2,-9.8,NE,22,ENE,NE,6,6,78,39,hIGh,High,1,1,No,No,red,26.1
5/8/2008,Changi,0,3.2,8,E,22,WSW,ENE,7,11,62,33,Med,mED,1,2,No,No,grey,28.5
5/8/2008,Tuas,0,2.6,10,NE,20,ENE,SE,7,7,84,40,High,HIGh,1,1,No,No,grey,26.4
5/8/2008,Woodlands,0,6.2,-10.2,ESE,44,,NW,0,24,74,62,med,mED,3,1,No,No,white,33.7
5/8/2008,Sentosa,0.2,2,7.7,SSE,30,WSW,S,6,20,81,55,high,HiGh,7,3,No,No,white,25.9
6/8/2008,Sentosa,0,1.8,7.6,NW,35,N,NNE,13,17,89,43,MeD,med,7,7,,No,red,26.7
6/8/2008,Woodlands,0,6.8,-11,E,46,SE,ENE,15,24,84,21,MEd,MEd,0,0,No,No,white,33.3
6/8/2008,Tuas,0,2.2,9.9,WSW,22,,WSW,0,13,74,,hIGH,HigH,5,5,No,No,white,26.5
6/8/2008,Changi,0.2,2.2,10.2,W,39,SW,W,7,15,56,29,mED,mEd,1,1,No,No,white,28.5
7/8/2008,Woodlands,0,6.4,11.2,ESE,50,ESE,E,24,24,33,18,MED,MeD,0,0,,No,red,33.4
7/8/2008,Changi,0,5,10.3,W,30,SW,W,9,19,49,29,meD,MeD,0,0,No,No,blue,27.8
7/8/2008,Sentosa,0,1.8,5.7,W,41,SSW,S,2,15,70,52,mEd,MEd,6,6,No,No,white,26.3
7/8/2008,Tuas,0,2.2,3.9,ESE,24,SE,ESE,11,9,,58,hiGH,hIGH,5,5,,No,white,26.2
8/8/2008,Woodlands,0,7.6,11.1,ESE,52,SE,E,19,19,,13,Med,MEd,0,0,,No,blue,32.8
8/8/2008,Sentosa,0.4,2.2,8,NNW,35,NNW,NW,19,24,61,41,hIGH,MEd,2,6,No,Yes,red,25.5
8/8/2008,Changi,0,5,10.3,W,48,W,W,11,19,36,26,mEd,mED,0,0,No,No,grey,27.8
8/8/2008,Tuas,0,2,10,ENE,31,E,ENE,11,13,64,41,HIGH,higH,1,2,No,No,grey,26.9
9/8/2008,Woodlands,0,8,10.1,E,41,ESE,NW,15,24,32,18,mEd,mEd,3,6,,No,red,32.8
9/8/2008,Woodlands,0,8,10.1,E,41,ESE,NW,15,24,32,18,mEd,mEd,3,6,,No,red,32.8
9/8/2008,Sentosa,1.8,2.8,7.6,NNW,46,N,NW,17,22,73,44,med,MEd,1,7,Yes,Yes,blue,25.4
9/8/2008,Changi,0,5,10.3,SW,19,SW,ENE,7,13,47,32,hIGh,HiGH,1,0,,No,white,28
9/8/2008,Tuas,0,4.2,9.9,ESE,46,E,E,17,15,63,42,hIgH,hIGh,1,3,No,No,white,27.3
10/8/2008,Woodlands,0,8,-8.7,E,37,SE,E,15,17,36,25,MED,med,6,7,No,No,grey,33.4
10/8/2008,Changi,0,3.4,-10.2,W,31,S,W,6,17,47,21,MEd,MeD,0,0,No,No,white,27.4
10/8/2008,Tuas,0,4.4,9.2,NNE,39,ENE,ENE,13,19,52,41,HIgH,HIgh,6,2,No,No,red,27.7
10/8/2008,Sentosa,4.8,1.6,2.4,SW,70,W,WSW,19,24,83,66,mED,MEd,8,6,Yes,Yes,grey,25.2
10/8/2008,Woodlands,0,8,-8.7,E,37,SE,E,15,17,36,25,MED,med,6,7,No,No,grey,33.4
11/8/2008,Tuas,0,4.2,-9,E,30,E,SE,9,9,57,33,HIGH,hIGh,6,1,No,No,blue,27.8
11/8/2008,Changi,0,3.2,10.4,W,37,WSW,WSW,11,13,34,16,Med,MEd,0,0,No,No,red,26.6
11/8/2008,Sentosa,11.4,2,5.2,WSW,50,W,WSW,19,30,75,57,med,hIGh,7,6,Yes,No,grey,25.4
11/8/2008,Woodlands,0,6.4,10.1,ESE,46,SE,WNW,26,20,21,15,mEd,mED,3,3,,No,white,33.6
12/8/2008,Woodlands,0,7.8,10.9,ESE,37,SE,WNW,20,19,21,24,mEd,med,4,5,No,No,white,33.4
12/8/2008,Changi,0,4.8,10.4,SW,24,WSW,SSW,9,4,36,19,hIGh,hiGh,1,1,No,No,white,26.6
12/8/2008,Tuas,0,4,7.2,SE,28,E,ESE,11,15,57,34,High,hIgh,3,5,No,No,white,26.4
12/8/2008,Sentosa,0.6,1.8,4.5,W,63,NNW,W,13,26,60,69,meD,higH,6,7,No,Yes,red,25.9
13/8/2008,Sentosa,1.6,2,8.4,WSW,46,W,W,24,31,68,48,HIgH,HiGh,1,7,Yes,No,white,25.4
13/8/2008,Tuas,0,3,9.9,NNE,31,E,E,7,11,59,27,HiGh,HIGh,1,1,,No,white,27.1
13/8/2008,Woodlands,0,7.4,10.3,E,43,SE,NW,20,26,22,19,med,med,1,1,No,No,grey,33.9
13/8/2008,Changi,0,4.8,5.3,WNW,20,SW,NNW,7,6,50,28,HIgH,High,7,7,No,No,grey,27.5
14/8/2008,Tuas,0,3.4,10,NE,33,NE,ENE,13,13,49,25,hiGh,higH,0,1,No,No,blue,26.9
14/8/2008,Woodlands,0,8,11,NNE,31,SE,NNW,20,22,25,27,Med,med,3,5,,No,white,33.7
14/8/2008,Changi,0,2.4,8,W,30,SW,WNW,9,11,48,25,hiGH,MeD,7,7,,No,red,27.3
14/8/2008,Sentosa,0.2,1.6,3.7,WSW,56,WSW,WSW,31,39,75,65,hiGh,hIGh,7,7,No,No,grey,26.1
15/8/2008,Sentosa,0.2,2.2,1.4,WSW,50,WSW,SSE,26,19,77,80,MEd,MED,7,7,No,Yes,grey,26.8
15/8/2008,Woodlands,0,9.4,8.6,NS,41,SE,N,24,11,26,13,mEd,mED,3,3,No,No,white,34.2
15/8/2008,Tuas,0,4.4,10.2,NNW,30,NE,SW,11,9,53,21,HiGH,high,6,2,No,No,grey,27.4
15/8/2008,Changi,0,4,10.8,WNW,41,W,W,17,17,34,22,meD,Med,1,0,No,No,grey,28.6
16/8/2008,Tuas,0,2.4,10.5,NNE,30,NE,NW,13,9,39,17,hiGh,higH,0,4,No,No,red,27.5
16/8/2008,Woodlands,0,8.2,11.1,ESE,43,ESE,NNW,30,17,15,13,MeD,MeD,3,2,No,No,white,33.8
16/8/2008,Sentosa,2.2,3.6,2.5,SSW,52,SW,SSW,28,28,87,60,med,MED,7,6,Yes,Yes,blue,26.5
16/8/2008,Changi,0,6,10.7,WNW,43,W,W,17,22,42,27,meD,med,1,1,No,No,blue,28.5
17/8/2008,Woodlands,0,9.8,-10.8,E,44,SE,SSE,26,24,18,8,MED,mEd,1,1,No,No,blue,33
17/8/2008,Woodlands,0,9.8,-10.8,E,44,SE,SSE,26,24,18,8,MED,mEd,1,1,No,No,blue,33
17/8/2008,Changi,0,7,10.6,WSW,56,SW,NE,13,11,45,34,MeD,hIgH,1,2,No,No,blue,27.4
17/8/2008,Sentosa,4.2,1.4,2.8,SW,31,SW,SSW,24,17,83,56,HIgh,hIGh,5,7,Yes,No,white,25.9
17/8/2008,Tuas,0,3.4,-10.5,N,28,NE,WSW,15,7,41,21,HiGH,High,0,1,No,No,blue,27.4
18/8/2008,Tuas,0,3.8,10.4,NNW,39,NNE,WNW,13,17,44,11,HiGH,HIGh,0,3,No,No,white,26.8
18/8/2008,Changi,0,3.8,0,WNW,19,SW,SSE,7,4,68,54,HiGH,HiGh,8,8,,No,blue,27.1
18/8/2008,Woodlands,0,9.2,10.8,SE,46,SE,SE,31,17,13,9,MEd,Med,2,1,No,No,red,33
